Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
8679996,Python 3 Object Oriented Programming,Dusty Phillips,"Phillips, Dusty",,"=""1849511268""","=""9781849511261""",0,4.02,Packt Publishing,Capa comum,388,2010,2010,,2021/11/29,currently-reading,currently-reading (#6),currently-reading,,,,1,,,0,,,,,
22514127,Automate the Boring Stuff with Python: Practical Programming for Total Beginners,Al Sweigart,"Sweigart, Al",,"=""1593275994""","=""9781593275990""",5,4.29,No Starch Press,Paperback,479,2015,2014,2021/11/29,2021/11/21,,,read,,,,1,,,0,,,,,
17397466,An Introduction to Statistical Learning: With Applications in R,Gareth James,"James, Gareth","Trevor Hastie, Robert Tibshirani, Daniela Witten","=""1461471370""","=""9781461471370""",0,4.61,Springer,Hardcover,426,2017,2013,,2021/11/21,to-read,to-read (#140),to-read,,,,0,,,0,,,,,
40363665,"Hands-On Machine Learning with Scikit-Learn, Keras, and Tensorflow: Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron,"Géron, Aurélien",,"=""1492032646""","=""""",0,4.57,O'Reilly Media,Paperback,856,2019,2017,,2021/11/27,currently-reading,currently-reading (#5),currently-reading,,,,1,,,0,,,,,
43606157,"Cytonic (Skyward, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""1473217938""","=""9781473217935""",0,4.34,Gollancz,Hardcover,409,2021,2021,,2021/05/26,currently-reading,currently-reading (#4),currently-reading,,,,1,,,0,,,,,
58465495,"Evershore (Skyward, #3.1)",Brandon Sanderson,"Sanderson, Brandon",Janci Patterson,"=""""","=""9780593566633""",0,4.42,Delacorte Press,ebook,,2021,2021,,2021/11/22,to-read,to-read (#139),to-read,,,,0,,,0,,,,,
44492285,"Dune Messiah (Dune Chronicles, #2)",Frank Herbert,"Herbert, Frank",,"=""0593098234""","=""9780593098233""",0,3.89,Ace Books,Paperback,337,2019,1969,,2021/09/17,currently-reading,currently-reading (#3),currently-reading,,,,1,,,0,,,,,
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",5,4.24,Ace Books,Hardcover,688,2019,1965,2021/11/08,2020/04/11,,,read,,,,1,,,0,,,,,
57903879,ReDawn (Skyward #2.2),Brandon Sanderson,"Sanderson, Brandon",Janci Patterson,"=""""","=""9780593566626""",5,4.33,Delacorte Press,ebook,229,2021,2021,2021/11/05,2021/05/26,,,read,,,,1,,,0,,,,,
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",0,4.24,Crown Publishers,Hardcover,374,2011,2011,,2021/11/02,to-read,to-read (#138),to-read,,,,0,,,0,,,,,
8855321,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,"Corey, James S.A.",,"=""1841499889""","=""9781841499888""",0,4.25,Orbit,Paperback,561,2011,2011,,2021/10/30,to-read,to-read (#137),to-read,,,,0,,,0,,,,,
46787,Uncle Tom's Cabin,Harriet Beecher Stowe,"Stowe, Harriet Beecher",Đỗ Đức Hiểu,"=""""","=""""",5,3.88,Wordsworth Classics,Paperback,438,1999,1852,,2021/05/07,"classics_read, favorites","classics_read (#23), favorites (#31)",read,,,,1,,,0,,,,,
57903876,Sunreach (Skyward #2.1),Brandon Sanderson,"Sanderson, Brandon",Janci Patterson,"=""""","=""9780593566619""",5,4.25,Delacorte Press,ebook,208,2021,2021,2021/09/29,2021/05/26,,,read,,,,1,,,0,,,,,
57094644,Daughter of the Deep,Rick Riordan,"Riordan, Rick",,"=""1368077927""","=""9781368077927""",0,4.36,Disney-Hyperion,Hardcover,352,2021,2021,,2021/09/21,to-read,to-read (#136),to-read,,,,0,,,0,,,,,
228665,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",,"=""0812511816""","=""9780812511819""",5,4.17,Tor Books,Mass Market Paperback,814,1990,1990,2020/07/20,2020/02/26,favorites,favorites (#40),read,,,,1,,,0,,,,,
16031812,"A Memory of Light (Wheel of Time, #14)",Robert Jordan,"Jordan, Robert",Brandon Sanderson,"=""""","=""""",5,4.50,Tor Books,Kindle Edition,1025,2013,2013,2020/08/11,2020/08/09,"books_worth_rereading, favorites","books_worth_rereading (#6), favorites (#24)",read,,,,1,,,0,,,,,
44492286,"Children of Dune (Dune Chronicles, #3)",Frank Herbert,"Herbert, Frank",,"=""0593098242""","=""9780593098240""",0,3.95,Ace Books,Paperback,609,2019,1976,,2021/09/17,to-read,to-read (#135),to-read,,,,0,,,0,,,,,
35167718,"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.",Ralph Leighton,"=""0393355640""","=""9780393355642""",5,4.11,W. W. Norton  Company,Paperback,288,2018,1988,2021/09/09,2021/08/16,,,read,,,,1,,,0,,,,,
768889,"A Storm of Swords: Steel and Snow (A Song of Ice and Fire, #3: Part 1 of 2)",George R.R. Martin,"Martin, George R.R.",,"=""0006479901""","=""9780006479901""",5,4.42,HarperVoyager,Paperback,663,2001,2000,,2020/05/09,,,read,,,,1,,,0,,,,,
147915,"A Storm of Swords 2: Blood and Gold (A Song of Ice and Fire, #3, Part 2 of 2)",George R.R. Martin,"Martin, George R.R.",,"=""0007119550""","=""9780007119554""",5,4.50,HarperVoyager ,Paperback,639,2011,2000,,2020/05/09,,,read,,,,1,,,0,,,,,
35959740,Circe,Madeline Miller,"Miller, Madeline",,"=""0316556343""","=""9780316556347""",5,4.26,"Little, Brown and Company",Hardcover,393,2018,2018,2021/08/31,2020/06/19,,,read,,,,1,,,0,,,,,
69571,"Rich Dad, Poor Dad",Robert T. Kiyosaki,"Kiyosaki, Robert T.",Sharon L. Lechter,"=""0751532711""","=""9780751532715""",5,4.10,Time Warner Books UK,Paperback,195,2007,1997,2021/08/19,2021/07/06,,,read,,,,1,,,0,,,,,
150131,The First Three Minutes: A Modern View of the Origin of the Universe,Steven Weinberg,"Weinberg, Steven",,"=""0465024378""","=""9780465024377""",0,4.09,Basic Books,Paperback,203,1993,1977,,2021/08/16,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
6185,Wuthering Heights,Emily Brontë,"Brontë, Emily","Richard J. Dunn, Charlotte Brontë, Robert Heindel, Sőtér István","=""""","=""""",0,3.87,Norton,Paperback,464,2002,1847,,2021/08/16,,,read,,,,1,,,0,,,,,
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""0062060627""","=""9780062060624""",0,4.41,Ecco,Paperback,378,2012,2011,,2021/08/14,to-read,to-read (#134),to-read,,,,0,,,0,,,,,
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""""","=""""",5,4.38,Alfred A. Knopf,Hardcover,552,2006,2005,2021/08/13,2021/07/24,favorites,favorites (#39),read,,,,1,,,0,,,,,
